iso_formula,iso_slug,inchi,inchikey,mass_in_Da,name,version,doi,max_temperature,num_pressure_broadeners,nxsec_files,nkcoeff_files,dipole_available,cooling_function_available,specific_heat_available,continuum,hyperfine_resolved_dataset
(13C)(15N),13C-15N,"InChI=1S/CN/c1-2/i1+1,2+1",JEVCWSUVFOYBFI-ZDOIIHCHSA-N,28.00346374,KTPSYT,20241119,10.3847/1538-4365/ad8b40,10000.0,0,0,0,False,False,False,False,False
(12C)(16O),12C-16O,"InChI=1S/CO/c1-2/i1+0,2+0",UGFAIRIUMAVXCW-ZCWHFVSRSA-N,27.99491462,Li2015,20170101,10.5281/zenodo.5716770,9000.0,0,0,0,False,False,False,False,False
(12C)(17O),12C-17O,"InChI=1S/CO/c1-2/i1+0,2+1",UGFAIRIUMAVXCW-DZEMCFCNSA-N,28.9991317,Li2015,20192207,10.5281/zenodo.5722864,9000.0,0,0,0,False,False,False,False,False
(12C)(18O),12C-18O,"InChI=1S/CO/c1-2/i1+0,2+2",UGFAIRIUMAVXCW-FNPQUGRCSA-N,29.999161,Li2015,20190722,10.5281/zenodo.5716774,9000.0,0,0,0,False,False,False,False,False
(13C)(16O),13C-16O,"InChI=1S/CO/c1-2/i1+1,2+0",UGFAIRIUMAVXCW-CRWWGTSDSA-N,28.99826946,Li2015,20170101,10.5281/zenodo.5716776,9000.0,0,0,0,False,False,False,False,False
(13C)(17O),13C-17O,"InChI=1S/CO/c1-2/i1+1,2+1",UGFAIRIUMAVXCW-ZDOIIHCHSA-N,30.00248654,Li2015,20190722,10.5281/zenodo.5716778,9000.0,0,0,0,False,False,False,False,False
(13C)(18O),13C-18O,"InChI=1S/CO/c1-2/i1+1,2+2",UGFAIRIUMAVXCW-RGIGPVFXSA-N,31.00251584,Li2015,20190722,10.5281/zenodo.5716780,9000.0,0,0,0,False,False,False,False,False
(12C)(16O)2,12C-16O2,InChI=1S/CO2/c2-1-3,CURLTUGMZLYLDI-UHFFFAOYSA-N,43.98982924,UCL-4000,20200630,10.5281/zenodo.5716786,4000.0,0,0,0,False,False,True,False,False
(12C)(16O)+,12C-16O_p,InChI=1S/CO/c1-2/q+1,BOJPITGAFFYFJK-UHFFFAOYSA-N,27.99436604,AWXLZY,20250902,,9000.0,0,0,0,False,False,False,False,False
(12C)(16O)+,12C-16O_p,InChI=1S/CO/c1-2/q+1,BOJPITGAFFYFJK-UHFFFAOYSA-N,27.99436604,new,20250902,,9000.0,0,0,0,False,False,False,False,False
(12C)(31P),12C-31P,"InChI=1S/CP/c1-2/i1+0,2+0",GDPLAAHPHNAIGW-ZCWHFVSRSA-N,42.97376163,MoLLIST,20160726,10.5281/zenodo.5716942,3000.0,0,0,0,False,False,False,False,False
